title,price,availability,rating
A Light in the Attic,Â51.77,In stock,Three
Tipping the Velvet,Â53.74,In stock,One
Soumission,Â50.10,In stock,One
Sharp Objects,Â47.82,In stock,Four
Sapiens: A Brief History of Humankind,Â54.23,In stock,Five
The Requiem Red,Â22.65,In stock,One
The Dirty Little Secrets of Getting Your Dream Job,Â33.34,In stock,Four
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â17.93,In stock,Three
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â22.60,In stock,Four
The Black Maria,Â52.15,In stock,One
"Starving Hearts (Triangular Trade Trilogy, #1)",Â13.99,In stock,Two
Shakespeare's Sonnets,Â20.66,In stock,Four
Set Me Free,Â17.46,In stock,Five
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â52.29,In stock,Five
Rip it Up and Start Again,Â35.02,In stock,Five
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â57.25,In stock,Three
Olio,Â23.88,In stock,One
Mesaerion: The Best Science Fiction Stories 1800-1849,Â37.59,In stock,One
Libertarianism for Beginners,Â51.33,In stock,Two
It's Only the Himalayas,Â45.17,In stock,Two
In Her Wake,Â12.84,In stock,One
How Music Works,Â37.32,In stock,Two
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â30.52,In stock,Three
Chase Me (Paris Nights #2),Â25.27,In stock,Five
Black Dust,Â34.53,In stock,Five
Birdsong: A Story in Pictures,Â54.64,In stock,Three
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â22.50,In stock,Three
Aladdin and His Wonderful Lamp,Â53.13,In stock,Three
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â40.30,In stock,Five
Wall and Piece,Â44.18,In stock,Four
The Four Agreements: A Practical Guide to Personal Freedom,Â17.66,In stock,Five
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â31.05,In stock,Three
The Elephant Tree,Â23.82,In stock,Five
The Bear and the Piano,Â36.89,In stock,One
Sophie's World,Â15.94,In stock,Five
Penny Maybe,Â33.29,In stock,Three
Maude (1883-1993):She Grew Up with the country,Â18.02,In stock,Two
"In a Dark, Dark Wood",Â19.63,In stock,One
Behind Closed Doors,Â52.22,In stock,Four
You can't bury them all: Poems,Â33.63,In stock,Two
Slow States of Collapse: Poems,Â57.31,In stock,Three
Reasons to Stay Alive,Â26.41,In stock,Two
Private Paris (Private #10),Â47.61,In stock,Five
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â23.11,In stock,Five
Without Borders (Wanderlove #1),Â45.07,In stock,Two
When We Collided,Â31.77,In stock,One
"We Love You, Charlie Freeman",Â50.27,In stock,Five
Untitled Collection: Sabbath Poems 2014,Â14.27,In stock,Four
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Â44.18,In stock,Four
Unicorn Tracks,Â18.78,In stock,Three
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â25.52,In stock,One
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â16.28,In stock,One
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Â31.12,In stock,Three
This One Summer,Â19.49,In stock,Four
Thirst,Â17.27,In stock,Five
The Torch Is Passed: A Harding Family Story,Â19.09,In stock,One
The Secret of Dreadwillow Carse,Â56.13,In stock,One
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â56.41,In stock,One
The Past Never Ends,Â56.50,In stock,Four
The Natural History of Us (The Fine Art of Pretending #2),Â45.22,In stock,Three
The Nameless City (The Nameless City #1),Â38.16,In stock,Four
The Murder That Never Was (Forensic Instincts #5),Â54.11,In stock,Three
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â42.96,In stock,Four
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â23.89,In stock,Four
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â16.77,In stock,Three
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â20.59,In stock,Five
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â37.13,In stock,One
